Time,Image,Option1,Audio1,Correct1,Option2,Audio2,Correct2,Option3,Audio3,Correct3,Option4,Audio4,Correct4,Option5,Audio5,Correct5,Option6,Audio6,Correct6,Option7,Audio7,Correct7,Option8,Audio8,Correct8,Option9,Audio9,Correct9,Option10,Audio10,Correct10
1:55,1.55.jpg,öt perc múlva kettő,01_55-1.ogg,1,öt perc múlva hajnali kettő,01_55-2.ogg,1,egy ötvenöt,01_55-3.ogg,1,egy óra ötvenöt perc,01_55-4.ogg,1,majdnem kettő,01_55-5.ogg,1,tíz perc múlva kettő,,0,kettő óra után öt perccel,,0,kettő perc múlva öt,,0,háromnegyed kettő,,0,öt perc múlva éjjel,,0
2:05,2.05.jpg,kettő óra öt perc,02_05-1.ogg,1,öt perccel múlt kettő,02_05-2.ogg,1,hajnali kettő óra öt,02_05-3.ogg,1,öt perc múlva három,,0,háromnegyed kettő,,0,fél három,,0,kettő ötvenöt,,0,majdnem fél három,,0,tíz perc múlva három,,0,öt perccel éjfél után,,0
2:10,2.10.jpg,kettő óra tíz perc,02_10-1.ogg,1,tíz perccel múlt kettő,02_10-2.ogg,1,hajnali kettő óra tíz,02_10-3.ogg,1,délután kettő óra tíz,,0,negyed három,,0,fél három,,0,egy óra ötven,,0,majdnem fél három,,0,öt perc múlva kettő,,0,kettő óra ötven perc,,0
2:15,2.15.jpg,negyed három,02_15-1.ogg,1,tizenöt perccel múlt kettő,02_15-2.ogg,1,kettő óra tizenöt,02_15-3.ogg,1,kettő óra tizenöt perc,02_15-4.ogg,1,háromnegyed három,,0,fél három,,0,tizenöt perc múlva kettő lesz,,0,negyed kettő,,0,öt perc múlva fél három,,0,negyvenöt perc múlva három,,0
2:25,2.25.jpg,két óra huszonöt perc,02_25-1.ogg,1,két óra huszonöt,02_25-2.ogg,1,pontosan két óra huszonöt perc,02_25-3.ogg,1,két óra huszonkilenc,,0,két óra harmincöt perc,,0,huszon perc múlt két,,0,két óra húsz perc,,0,két óra harminc perc,,0,negyed három,,0,huszonöt perc múlva három,,0
2:30,2.30.jpg,két óra harminc perc,02_30-1.ogg,1,két óra harminc,02_30-2.ogg,1,pontosan két óra harminc perc,02_30-3.ogg,1,fél három,02_30-4.ogg,1,két óra és harminc perc,02_30-5.ogg,1,fél két,,0,negyed három,,0,két óra harmincöt perc,,0,két óra harminc perc múlva,,0,fél négy,,0
2:45,2.45.jpg,háromnegyed három,02_45-1.ogg,1,tizenöt perc múlva három,02_45-2.ogg,1,hajnali kettő óra negyvenöt,02_45-3.ogg,1,negyvenöt perccel múlt kettő,02_45-4.ogg,1,kettő óra negyvenöt perc,02_45-5.ogg,1,fél három,,0,negyed három,,0,tizenöt perccel múlt kettő,,0,majdnem három,,0,kettő óra öt perc,,0
2:58,2.58.jpg,kettő óra ötvennyolc perc,02_58-1.ogg,1,két perc múlva három,02_58-2.ogg,1,hajnali kettő óra ötvennyolc,02_58-3.ogg,1,majdnem három,02_58-4.ogg,1,délutén kettő óra ötvennyolc,,0,fél három,,0,háromnegyed három,,0,kettő ötven,,0,öt perc múlva kettő,,0,három óra kettő perc,,0
3:00,3.00.jpg,három óra,03_00-1.ogg,1,hajnali három,03_00-2.ogg,1,pontosan három,03_00-3.ogg,1,éjfél után három órával,03_00-4.ogg,1,hajnali négy,,0,kettő óra ötvenkilenc perc,,0,három óra egy perc,,0,majdnem négy,,0,háromnegyed három,,0,délután három,,0
3:10,3.10.jpg,három óra tíz perc,03_10-1.ogg,1,tíz perccel múlt három,03_10-2.ogg,1,hajnali három óra tíz,03_10-3.ogg,1,tíz perc múlva hajnali három,,0,negyed négy,,0,fél négy,,0,három óra ötven,,0,tíz perccel éjfél után,,0,majdnem fél négy,,0,öt perc múlva három,,0
3:15,3.15.jpg,negyed négy,03_15-1.ogg,1,tizenöt perccel múlt három,03_15-2.ogg,1,három óra tizenöt,03_15-3.ogg,1,három óra tizenöt perc,03_15-4.ogg,1,háromnegyed négy,,0,fél négy,,0,tizenöt perc múlva három lesz,,0,negyed három,,0,öt perc múlva fél négy,,0,negyvenöt perc múlva négy,,0
3:28,3.28.jpg,három óra huszonnyolc perc,03_28-1.ogg,1,huszonnyolc perccel múlt három,03_28-2.ogg,1,hajnali három huszonnyolc,03_28-3.ogg,1,két perc múlva fél négy,03_28-4.ogg,1,majdnem fél négy,03_28-5.ogg,1,nem sokkal fél négy előtt,,0,négy óra huszonnyolc perc,,0,háromnegyed négy,,0,negyed négy,,0,huszonnyolc perccel éjfél után,,0
3:30,3.30.jpg,három óra harminc perc,03_30-1.ogg,1,három harminc,03_30-2.ogg,1,pontosan három óra harminc perc,03_30-3.ogg,1,fél négy,03_30-4.ogg,1,majdnem fél négy,,0,fél három,,0,negyed négy,,0,három óra harmincöt perc,,0,három harminc perc múlva,,0,fél három óra,,0
3:33,3.33.jpg,három óra harminchárom perc,03_33-1.ogg,1,hajnali három óra harminchárom,03_33-2.ogg,1,három perccel múlt fél négy,03_33-3.ogg,1,négy óra harminchárom perc,,0,fél négy,,0,háromnegyed négy,,0,negyed négy,,0,három öt,,0,majdnem négy,,0,négy óra harminchárom perc,,0
3:50,3.50.jpg,három óra ötven perc,03_50-1.ogg,1,tíz perc múlva négy,03_50-2.ogg,1,hajnali három óra ötven,03_50-3.ogg,1,három óra ötven,03_50-4.ogg,1,tíz perccel múlt négy,,0,fél négy,,0,háromnegyed négy,,0,öt perc múlva három,,0,majdnem három,,0,három óra öt perc,,0
4:05,4.05.jpg,négy óra öt perc,04_05-1.ogg,1,öt perccel múlt négy,04_05-2.ogg,1,hajnali négy óra öt,04_05-3.ogg,1,öt perc múlva öt lesz,,0,háromnegyed öt,,0,fél öt,,0,négy ötvenöt,,0,majdnem fél öt,,0,tíz perc múlva öt,,0,öt perccel éjfél után,,0
4:15,4.15.jpg,negyed öt,04_15-1.ogg,1,tizenöt perccel múlt négy,04_15-2.ogg,1,négy tizenöt,04_15-3.ogg,1,négy óra tizenöt perc,04_15-4.ogg,1,háromnegyed öt,,0,fél öt,,0,tizenöt perc múlva négy lesz,,0,negyed négy,,0,öt perc múlva fél öt,,0,negyvenöt perc múlva öt,,0
4:22,4.22.jpg,négy óra huszonkét perc,04_22-1.ogg,1,négy huszonkettő,04_22-2.ogg,1,huszonkét perccel múlt négy,04_22-3.ogg,1,négy óra múlt huszonkét perccel,04_22-4.ogg,1,majdnem fél hat,,0,háromnegyed négy,,0,negyed öt,,0,tíz perc múlva öt,,0,fél négy,,0,öt perc múlva négy,,0
4:25,4.25.jpg,négy óra huszonöt perc,04_25-1.ogg,1,huszonöt perccel múlt négy,04_25-2.ogg,1,hajnali négy óra huszonöt,04_25-3.ogg,1,öt perc múlva fél öt lesz,04_25-4.ogg,1,majdnem fél öt,04_25-5.ogg,1,negyed öt,,0,fél öt,,0,három óra ötvenöt,,0,tíz perc múlva négy,,0,negyvenöt perccel múlt három,,0
4:30,4.30.jpg,fél öt,04_30-1.ogg,1,négy óra harminc perc,04_30-2.ogg,1,harminc perccel múlt négy,04_30-3.ogg,1,reggel fél öt,04_30-4.ogg,1,négy óra harminc,04_30-5.ogg,1,háromnegyed öt,,0,negyed öt,,0,húsz perc múlva öt,,0,majdnem öt,,0,öt perc múlva fél öt,,0
4:35,4.35.jpg,huszonöt perc múlva öt,04_35-1.ogg,1,huszonöt perc múlva öt,04_35-2.ogg,1,pontosan négy óra harmincöt perc,04_35-3.ogg,1,négy óra harmincöt perc,04_35-4.ogg,1,majdnem öt,,0,huszon perc múlva öt,,0,harminc perc múlva öt,,0,négy óra harminc,,0,öt óra harmincöt perc,,0,huszonöt perc múlva négy,,0
4:40,4.40.jpg,négy óra negyven perc,04_40-1.ogg,1,húsz perc múlva öt,04_40-2.ogg,1,hajnali négy óra negyven,04_40-3.ogg,1,tíz perccel múlt fél öt,04_40-4.ogg,1,fél öt,,0,háromnegyed öt,,0,negyed öt,,0,negyven perc múlva négy,,0,majdnem öt,,0,négy óra öt perc,,0
4:55,4.55.jpg,öt perc múlva öt,04_55-1.ogg,1,öt perc múlva reggel öt,04_55-2.ogg,1,négy óra ötvenöt,04_55-3.ogg,1,négy óra ötvenöt perc,04_55-4.ogg,1,majdnem öt,04_55-5.ogg,1,tíz perc múlva öt,,0,öt perccel öt óra után,,0,öt perc múlva négy,,0,háromnegyed öt,,0,öt perc múlva hajnal,,0
5:15,5.15.jpg,reggel negyed hat,05_15-1.ogg,1,tizenöt perccel múlt öt,05_15-2.ogg,1,öt óra tizenöt,05_15-3.ogg,1,öt óra tizenöt perc,05_15-4.ogg,1,háromnegyed hat,,0,fél hat,,0,tizenöt perc múlva öt lesz,,0,negyed öt,,0,öt perc múlva fél hat,,0,negyvenöt perc múlva hat,,0
5:22,5.22.jpg,öt óra huszonkettő perc,05_22-1.ogg,1,huszonkét perccel múlt öt,05_22-2.ogg,1,reggel öt óra huszonkettő,05_22-3.ogg,1,nyolc perc múlva fél hat lesz,05_22-4.ogg,1,majdnem fél hét,,0,fél hat,,0,hat óra huszonkettő perc,,0,háromnegyed hat,,0,negyed hat,,0,huszonkettő perccel éjfél után,,0
5:30,5.30.jpg,fél hat,05_30-1.ogg,1,öt óra harminc perc,05_30-2.ogg,1,harminc perccel múlt öt,05_30-3.ogg,1,reggel fél hat,05_30-4.ogg,1,öt óra harminc,05_30-5.ogg,1,háromnegyed hat,,0,negyed hat,,0,háromnegyed hét,,0,majdnem hat,,0,öt perc múlva fél hat,,0
5:35,5.35.jpg,öt óra harmincöt perc,05_35-1.ogg,1,huszonöt perc múlva hat,05_35-2.ogg,1,reggel öt óra harmincöt,05_35-3.ogg,1,öt perccel múlt fél hat,05_35-4.ogg,1,nem sokkal fél hat előtt,,0,háromnegyed hat,,0,negyed hat,,0,harmincöt perc múlva öt,,0,majdnem hat,,0,öt óra öt perc,,0
5:40,5.40.jpg,húsz perc múlva hat,05_40-1.ogg,1,húsz perc múlva hat,05_40-2.ogg,1,öt óra negyven perc,05_40-3.ogg,1,pontosan öt óra negyven perc,05_40-4.ogg,1,majdnem hat,,0,húsz perc múlva öt,,0,negyven perc múlva hat,,0,öt óra negyvenöt perc,,0,fél hat,,0,húsz perc múlva hét,,0
5:45,5.45.jpg,tizenöt perc múlva hat,05_45-1.ogg,1,tizenöt perc múlva hat,05_45-2.ogg,1,pontosan öt óra negyvenöt perc,05_45-3.ogg,1,öt óra negyvenöt perc,05_45-4.ogg,1,háromnegyed hat,05_45-5.ogg,1,tíz perc múlva hat,,0,negyven perc múlva hat,,0,öt óra ötven perc,,0,hat óra negyvenöt perc,,0,fél hat,,0
5:48,5.48.jpg,öt óra negyvennyolc perc,05_48-1.ogg,1,tizenkét perc múlva hat,05_48-2.ogg,1,reggel öt óra negyvennyolc,05_48-3.ogg,1,épp elmúlt háromnegyed hat,05_48-4.ogg,1,reggel öt óra negyvenkilenc,,0,fél hat,,0,háromnegyed hat,,0,öt ötven,,0,két perc múlva öt,,0,hat óra tizenkét perc,,0
5:55,5.55.jpg,öt perc múlva hat,05_55-1.ogg,1,majdnem hat óra,05_55-2.ogg,1,öt óra ötvenöt perc,05_55-3.ogg,1,öt óra ötvenöt,05_55-4.ogg,1,öt perccel hat előtt,05_55-5.ogg,1,tíz perc múlva hat,,0,öt perc múlva öt,,0,negyed hat,,0,fél hat,,0,háromnegyed hat,,0
5:57,5.57.jpg,öt óra ötvenhét perc,05_57-1.ogg,1,három perc múlva hat,05_57-2.ogg,1,reggel öt óra ötvenhét,05_57-3.ogg,1,majdnem hat,05_57-4.ogg,1,este öt óra ötvenhét,,0,fél hat,,0,háromnegyed hat,,0,öt ötven,,0,öt perc múlva öt,,0,hat óra három perc,,0
6:00,6.00.jpg,hat óra,06_00-1.ogg,1,reggel hat,06_00-2.ogg,1,pontosan hat,06_00-3.ogg,1,hat óra,06_00-4.ogg,1,majdnem hat,,0,öt óra ötvenkilenc perc,,0,hat óra egy perc,,0,majdnem hét,,0,háromnegyed hat,,0,délután hat,,0
6:20,6.20.jpg,hat óra húsz perc,06_20-1.ogg,1,húsz perccel múlt hat,06_20-2.ogg,1,reggel hat óra húsz,06_20-3.ogg,1,tíz perc múlva fél hét lesz,06_20-4.ogg,1,negyed hét,,0,fél hét,,0,hat negyven,,0,húsz perccel reggel után,,0,majdnem fél hat,,0,öt perc múlva hat,,0
6:30,6.30.jpg,fél hét,06_30-1.ogg,1,hat óra harminc perc,06_30-2.ogg,1,harminc perccel múlt hat,06_30-3.ogg,1,reggel fél hét,06_30-4.ogg,1,hat óra harminc,06_30-5.ogg,1,háromnegyed hét,,0,negyed hét,,0,hét óra harminc,,0,majdnem hét,,0,öt perc múlva fél hét,,0
6:35,6.35.jpg,hat óra harmincöt,06_35-1.ogg,1,reggel hat óra harmincöt,06_35-2.ogg,1,öt perccel múlt fél hét,06_35-3.ogg,1,öt perc múlva hét,,0,fél hét,,0,háromnegyed hét,,0,negyed hét,,0,harmincöt perc múlva hat,,0,majdnem hét,,0,hat óra öt,,0
6:40,6.40.jpg,hat óra negyven perc,06_40-1.ogg,1,húsz perc múlva hét,06_40-2.ogg,1,reggel hat óra negyven,06_40-3.ogg,1,tíz perccel múlt fél hét,06_40-4.ogg,1,fél hét,,0,háromnegyed hét,,0,negyed hét,,0,negyven perc múlva hat,,0,majdnem hét,,0,hat óra öt perc,,0
6:45,6.45.jpg,tizenöt perc múlva hét,06_45-1.ogg,1,hat óra negyvenöt perc,06_45-2.ogg,1,pontosan hat óra negyvenöt perc,06_45-3.ogg,1,hat óra negyvenöt,06_45-4.ogg,1,majdnem hét,,0,tíz perc múlva hét,,0,negyven perc múlva hét,,0,hat óra negyven perc,,0,hét óra negyvenöt perc,,0,fél hét,,0
6:50,6.50.jpg,hat óra ötven perc,06_50-1.ogg,1,tíz perc múlva hét,06_50-2.ogg,1,reggel hat óra ötven,06_50-3.ogg,1,hat óra ötven,06_50-4.ogg,1,tíz perccel múlt hét,,0,fél hét,,0,háromnegyed hét,,0,öt perc múlva hat,,0,majdnem hat,,0,hat óra öt perc,,0
7:04,7.04.jpg,hét óra négy perc,07_04-1.ogg,1,hét óra négy,07_04-2.ogg,1,pontosan hét óra négy perc,07_04-3.ogg,1,hat óra négy,,0,négy perccel múlt hét,,0,hét óra öt perc,,0,hét perc négy,,0,négy óra hét perc,,0,fél hét,,0,hét óra nulla perc,,0
7:08,7.08.jpg,hét óra nyolc perc,07_08-1.ogg,1,nyolc perccel múlt hét,07_08-2.ogg,1,reggel hét óra nyolc,07_08-3.ogg,1,este hét óra nyolc,,0,negyed nyolc,,0,fél nyolc,,0,hat ötvenkettő,,0,nyolc perccel reggel után,,0,majdnem fél nyolc,,0,harminckét perccel múlt hét,,0
7:25,7.25.jpg,hét óra huszonöt,07_25-1.ogg,1,huszonöt perccel múlt hét,07_25-2.ogg,1,reggel hét óra huszonöt,07_25-3.ogg,1,öt perc múlva fél nyolc lesz,07_25-4.ogg,1,negyed nyolc,,0,fél nyolc,,0,hat ötvenöt,,0,huszonöt perccel reggel után,,0,majdnem fél tíz,,0,tíz perc múlva hét,,0
7:35,7.35.jpg,hét óra harmincöt perc,07_35-1.ogg,1,huszonöt perc múlva nyolc,07_35-2.ogg,1,reggel hét óra harmincöt,07_35-3.ogg,1,öt perccel múlt fél nyolc,07_35-4.ogg,1,fél nyolc,,0,háromnegyed nyolc,,0,negyed nyolc,,0,harmincöt perc múlva hét,,0,majdnem nyolc,,0,hét óra öt perc,,0
7:40,7.40.jpg,húsz perc múlva nyolc,07_40-1.ogg,1,hét óra negyven perc,07_40-2.ogg,1,hét óra negyven,07_40-3.ogg,1,majdnem háromnegyed nyolc,07_40-4.ogg,1,húsz perccel múlt hét,,0,háromnegyed hét,,0,tíz perc múlva hét,,0,negyed nyolc,,0,öt perc múlva nyolc,,0,fél nyolc,,0
7:45,7.45.jpg,háromnegyed nyolc,07_45-1.ogg,1,tizenöt perc múlva nyolc,07_45-2.ogg,1,reggel hét óra negyvenöt,07_45-3.ogg,1,hét óra negyvenöt perc,07_45-4.ogg,1,negyed hét,,0,fél nyolc,,0,negyed nyolc,,0,tizenöt perccel múlt hét,,0,majdnem nyolc,,0,hét óra öt perc,,0
7:50,7.50.jpg,tíz perc múlva nyolc,07_50-1.ogg,1,hét óra ötven perc,07_50-2.ogg,1,pontosan hét óra ötven perc,07_50-3.ogg,1,hét óra ötven,07_50-4.ogg,1,majdnem kilenc,,0,tíz perc múlva hét,,0,ötven perc múlva nyolc,,0,hét óra negyven perc,,0,nyolc óra ötven perc,,0,fél nyolc,,0
7:55,7.55.jpg,öt perc múlva nyolc,07_55-1.ogg,1,öt perc múlva reggel nyolc,07_55-2.ogg,1,hét óra ötvenöt,07_55-3.ogg,1,hét óra ötvenöt perc,07_55-4.ogg,1,majdnem nyolc,07_55-5.ogg,1,tíz perc múlva nyolc,,0,öt perccel nyolc óra után,,0,nyolc perc múlva öt,,0,háromnegyed nyolc,,0,öt perc múlva délután,,0
8:03,8.03.jpg,nyolc óra három perc,08_03-1.ogg,1,három perccel múlt nyolc,08_03-2.ogg,1,reggel nyolc óra három,08_03-3.ogg,1,kilenc óra három perc,,0,negyed kilenc,,0,fél kilenc,,0,hét ötvenhét,,0,három perccel reggel után,,0,majdnem fél kilenc,,0,harminchét perccel múlt nyolc,,0
8:10,8.10.jpg,nyolc óra tíz perc,08_10-1.ogg,1,tíz perccel múlt nyolc,08_10-2.ogg,1,de. nyolc óra tíz,08_10-3.ogg,1,tíz perc múlva nyolc,,0,negyed kilenc,,0,fél kilenc,,0,nyolc ötven,,0,tíz perccel reggel után,,0,majdnem fél kilenc,,0,öt perc múlva nyolc,,0
8:30,8.30.jpg,fél kilenc,08_30-1.ogg,1,nyolc óra harminc,08_30-2.ogg,1,nyolc óra harminc perc,08_30-3.ogg,1,harminc perccel múlt nyolc,08_30-4.ogg,1,nyolc óra negyven,,0,negyed kilenc,,0,harminc perc múlva nyolc,,0,öt perc múlva kilenc,,0,fél tíz,,0,háromnegyed nyolc,,0
8:33,8.33.jpg,nyolc óra harminchárom perc,08_33-1.ogg,1,harminchárom perccel múlt nyolc,08_33-2.ogg,1,reggel nyolc óra harminchárom,08_33-3.ogg,1,körülbelül fél kilenc,08_33-4.ogg,1,fél kilenc,,0,háromnegyed kilenc,,0,negyed kilenc,,0,hét öt,,0,épp túl fél nyolc,,0,kilenc óra harminchárom perc,,0
8:40,8.40.jpg,nyolc óra negyven,08_40-1.ogg,1,húsz perc múlva kilenc,08_40-2.ogg,1,reggel nyolc óra negyven,08_40-3.ogg,1,tíz perccel múlt fél kilenc,08_40-4.ogg,1,fél kilenc,,0,háromnegyed kilenc,,0,negyed kilenc,,0,negyven perc múlva nyolc,,0,majdnem kilenc,,0,nyolc óra öt perc,,0
8:50,8.50.jpg,nyolc óra ötven perc,08_50-1.ogg,1,tíz perc múlva kilenc,08_50-2.ogg,1,délelőtt nyolc óra ötven,08_50-3.ogg,1,nyolc óra ötven,08_50-4.ogg,1,tíz perccel múlt kilenc,,0,fél kilenc,,0,háromnegyed kilenc,,0,öt perc múlva nyolc,,0,majdnem kilenc,,0,nyolc óra öt perc,,0
8:55,8.55.jpg,öt perc múlva kilenc,08_55-1.ogg,1,nyolc óra ötvenöt perc,08_55-2.ogg,1,pontosan nyolc óra ötvenöt perc,08_55-3.ogg,1,nyolc óra ötvenöt,08_55-4.ogg,1,majdnem kilenc,08_55-5.ogg,1,öt perc múlva nyolc,,0,öt perc múlva tíz,,0,nyolc óra ötven perc,,0,kilenc óra ötvenöt perc,,0,fél kilenc,,0
9:00,9.00.jpg,kilenc óra,09_00-1.ogg,1,kilenc,09_00-2.ogg,1,pontosan kilenc óra,09_00-3.ogg,1,kilenc óra nulla perc,09_00-4.ogg,1,este kilenc,,0,kilenc óra egy perc,,0,hét óra,,0,kilenc perc,,0,nulla óra,,0,tíz óra,,0
9:10,9.10.jpg,kilenc óra tíz perc,09_10-1.ogg,1,tíz perccel múlt kilenc,09_10-2.ogg,1,délelőtt kilenc óra tíz,09_10-3.ogg,1,tíz perc múlva kilenc,,0,negyed tíz,,0,fél tíz,,0,kilenc ötven,,0,tíz perccel reggel után,,0,majdnem fél tíz,,0,öt perc múlva kilenc,,0
9:15,9.15.jpg,negyed tíz,09_15-1.ogg,1,kilenc óra tizenöt perc,09_15-2.ogg,1,kilenc óra tizenöt,09_15-3.ogg,1,tizenöt perccel múlt kilenc,09_15-4.ogg,1,negyed órával múlt kilenc,09_15-5.ogg,1,fél tíz,,0,tizenöt perc múlva kilenc,,0,háromnegyed tíz,,0,negyed kilenc,,0,kilenc fél,,0
9:20,9.20.jpg,kilenc óra húsz perc,09_20-1.ogg,1,húsz perccel múlt kilenc,09_20-2.ogg,1,de. kilenc óra húsz,09_20-3.ogg,1,tíz perc múlva fél tíz lesz,09_20-4.ogg,1,negyed tíz,,0,fél tíz,,0,kilenc negyven,,0,húsz perccel délelőtt után,,0,majdnem fél kilenc,,0,negyven perccel múlt kilenc,,0
9:37,9.37.jpg,kilenc óra harminchét perc,09_37-1.ogg,1,kilenc harminchét,09_37-2.ogg,1,pontosan kilenc óra harminchét perc,09_37-3.ogg,1,kilenc óra harminchat perc,,0,nyolc óra harminchét perc,,0,kilenc óra harminc perc,,0,harminchet perc múlva tíz,,0,kilenc óra negyven perc,,0,fél tíz,,0,kilenc harminc,,0
9:40,9.40.jpg,kilenc óra negyven perc,09_40-1.ogg,1,húsz perc múlva tíz,09_40-2.ogg,1,délelőtt kilenc óra negyven,09_40-3.ogg,1,tíz perccel múlt fél tíz,09_40-4.ogg,1,fél tíz,,0,háromnegyed tíz,,0,negyed tíz,,0,negyven perc múlva kilenc,,0,majdnem tíz,,0,kilenc óra öt perc,,0
9:45,9.45.jpg,háromnegyed tíz,09_45-1.ogg,1,tizenöt perc múlva tíz,09_45-2.ogg,1,reggel kilenc óra negyvenöt,09_45-3.ogg,1,kilenc óra negyvenöt perc,09_45-4.ogg,1,huszonöt perc múlva tíz,,0,fél tíz,,0,negyed tíz,,0,tizenöt perccel múlt kilenc,,0,majdnem tíz,,0,kilenc óra öt perc,,0
9:55,9.55.jpg,öt perc múlva tíz,09_55-1.ogg,1,öt perc múlva délelőtt tíz,09_55-2.ogg,1,kilenc óra ötvenöt,09_55-3.ogg,1,kilenc óra ötvenöt perc,09_55-4.ogg,1,majdnem tíz,09_55-5.ogg,1,tíz perc múlva tíz,,0,öt perccel tíz óra után,,0,tíz perc múlva öt,,0,háromnegyed tíz,,0,öt perc múlva reggel,,0
10:05,10.05.jpg,tíz óra öt perc,10_05-1.ogg,1,tíz óra öt,10_05-2.ogg,1,pontosan tíz óra öt perc,10_05-3.ogg,1,öt óra tíz,,0,öt perc múlva tíz,,0,öt perc múlva tíz,,0,tíz óra tíz perc,,0,fél tíz,,0,tíz óra null perc,,0,öt perc múlva tízeregy,,0
